species,length,mass
Phorcus turbinatus,14.04,1.75
Phorcus turbinatus,16.6,2.62
Phorcus turbinatus,14.37,2.09
Phorcus turbinatus,9.22,0.39
Phorcus turbinatus,16.94,2.85
Phorcus turbinatus,16.95,2.85
Phorcus turbinatus,14.09,1.67
Phorcus turbinatus,18.05,3.34
Phorcus turbinatus,9.69,0.6
Phorcus turbinatus,11.9,1.11
Phorcus turbinatus,15.8,2.13
Phorcus turbinatus,15.98,2.27
Phorcus turbinatus,17.53,2.79
Stramonita haemastoma,43.05,14.94
Stramonita haemastoma,40.08,12.98
Stramonita haemastoma,42.01,13.01
Stramonita haemastoma,38.32,10.95
Stramonita haemastoma,41.81,12.59
Stramonita haemastoma,38.38,8.71
Stramonita haemastoma,41.36,11.85
Stramonita haemastoma,34.6,7.31
Stramonita haemastoma,42.7,14.07
Stramonita haemastoma,40.2,14.45
Stramonita haemastoma,36.63,8.89
Stramonita haemastoma,38.88,11.93
Stramonita haemastoma,37.36,8.4
Stramonita haemastoma,39.69,14.22
Stramonita haemastoma,43.76,13.72
Stramonita haemastoma,46.38,18.41
Stramonita haemastoma,38.83,11.95
Stramonita haemastoma,45.18,16.37
Stramonita haemastoma,34.49,6.7
Stramonita haemastoma,35.69,7.97
Stramonita haemastoma,41.11,15.15
Stramonita haemastoma,41.1,13.78
Stramonita haemastoma,46.27,17.37
Stramonita haemastoma,39.8,13.16
Stramonita haemastoma,42.63,14.4
Stramonita haemastoma,34.07,7.86
Stramonita haemastoma,39.58,11.17
Stramonita haemastoma,38.47,10.76
Stramonita haemastoma,39.66,10.25
Stramonita haemastoma,41.32,12.95
Stramonita haemastoma,39.15,11.1
Stramonita haemastoma,35.99,8.16
Stramonita haemastoma,40.58,11.38
Phorcus turbinatus,17.35,2.75
Phorcus turbinatus,17.16,2.77
Phorcus turbinatus,18.46,3.48
Phorcus turbinatus,18.18,3.24
Stramonita haemastoma,43.99,15.1
Stramonita haemastoma,41.09,15.47
Stramonita haemastoma,34.19,8.41
Stramonita haemastoma,39.77,12.23
Phorcus turbinatus,20.33,4.83
Phorcus turbinatus,19.29,4.16
Phorcus turbinatus,17.89,3.34
Phorcus turbinatus,18.5,3.7
Phorcus turbinatus,18.11,3.39
Phorcus turbinatus,10.85,0.64
Phorcus turbinatus,17.98,3.23
Phorcus turbinatus,19.34,3.71
Phorcus turbinatus,13,1.2
Phorcus turbinatus,16.9,3.27
Phorcus turbinatus,20.97,4.92
Phorcus turbinatus,16.6,2.56
Phorcus turbinatus,18.76,4.22
Phorcus turbinatus,17.74,3.49
Phorcus turbinatus,19.38,4.44
Phorcus turbinatus,21.15,4.72
Hexaplex trunculus,37.6,6.86
Hexaplex trunculus,43.46,10.18
Hexaplex trunculus,39.07,10
Hexaplex trunculus,38.22,9.83
Phorcus turbinatus,15.98,2.18
Phorcus turbinatus,13.95,1.76
Phorcus turbinatus,18.14,3.31
Phorcus turbinatus,18.45,3.53
Phorcus turbinatus,15.04,2.11
Phorcus turbinatus,14.57,1.84
Phorcus turbinatus,13.03,1.12
Phorcus turbinatus,16.94,2.55
Phorcus turbinatus,20.64,4.04
Phorcus turbinatus,20,4.25
Phorcus turbinatus,21.55,4.75
Phorcus turbinatus,18.91,3.94
Phorcus turbinatus,19.19,4.18
Hexaplex trunculus,34.78,5.77
Hexaplex trunculus,38.33,6.3
Hexaplex trunculus,40.36,6.97
Hexaplex trunculus,48.73,12.04
Phorcus turbinatus,9,0.51
Phorcus turbinatus,18.21,2.95
Phorcus turbinatus,15.87,2.4
Phorcus turbinatus,17.09,2.53
Phorcus turbinatus,18.11,3.28
Phorcus turbinatus,16.11,2.33
Phorcus turbinatus,15.5,1.89
Phorcus turbinatus,15.42,1.98
Phorcus turbinatus,16.74,2.59
Phorcus turbinatus,10.68,0.72
Phorcus turbinatus,11.81,0.9
Phorcus turbinatus,20.13,4.23
Phorcus turbinatus,18.41,3.7
Phorcus turbinatus,18.46,3.78
Phorcus turbinatus,14.02,1.45
Hexaplex trunculus,37.08,6.9
Hexaplex trunculus,42.96,10.32
Hexaplex trunculus,37.76,7.09
Hexaplex trunculus,39.63,7.9
Phorcus turbinatus,17.69,2.82
Phorcus turbinatus,9.92,0.56
Phorcus turbinatus,14.89,1.68
Phorcus turbinatus,17.58,2.59
Phorcus turbinatus,16.15,2.36
Phorcus turbinatus,14.43,1.76
Phorcus turbinatus,14.78,1.9
Phorcus turbinatus,18,3.45
Phorcus turbinatus,22,5.21
Phorcus turbinatus,17.5,3.3
Phorcus turbinatus,16,2.78
Hexaplex trunculus,35,5.91
Hexaplex trunculus,38,8.44
Hexaplex trunculus,36,6.24
Hexaplex trunculus,34,5.09
